# rinf: excitation energies
#   Root          Energy(Ha)      Energy(eV)
       1        0.2992998635      8.14436830
       2        0.3075862447      8.36985234
       3        0.3223342637      8.77116658
       4        0.3383003355      9.20562575
       5        0.3548642786      9.65635383
       6        0.3660380613      9.96040810
       7        0.3780822877     10.28814836
       8        0.4123233761     11.21989632
       9        0.3548642786      9.65635383
      10        0.3548646954      9.65636517
      11        0.3660380613      9.96040810
      12        0.3660380937      9.96040898
      13        0.3780822877     10.28814836
      14        0.3780822977     10.28814863
      15        0.4123233761     11.21989632
      16        0.4123243195     11.21992199
