# rstack: excitation energies
#   Root          Energy(Ha)      Energy(eV)
       1        0.2540383483      6.91273911
       2        0.3031151662      8.24818803
       3        0.3056765251      8.31788620
       4        0.3202444018      8.71429851
       5        0.3291010288      8.95529974
       6        0.3452452954      9.39460783
       7        0.3539157348      9.63054263
       8        0.3768719034     10.25521211
       9        0.3291010288      8.95529974
      10        0.3359452626      9.14154092
      11        0.3452452954      9.39460783
      12        0.3531507179      9.60972545
      13        0.3539157348      9.63054263
      14        0.3652209579      9.93817358
      15        0.3768719034     10.25521211
      16        0.3924519133     10.67916599
